name,first_week,year,inflation,first_week_box
Пираты Карибского моря: На странных берегах,19.05.2011,2011,"1,539488",749091156
Аватар,17.12.2009,2009,"1,80897",601856450
Пираты Карибского моря: Мертвецы не рассказывают сказки,26.05.2017,2017,1,"1,05E+09"
Шрэк навсегда,20.05.2010,2010,"1,673423",604419850
Сумерки. Сага. Рассвет: Часть 2,15.11.2012,2012,"1,434751",697635248
Дэдпул,12.02.2016,2016,"1,04",957424900
Железный человек 3,02.05.2013,2013,"1,328473",722529385
Звёздные войны: Пробуждение силы,18.12.2015,2015,"1,09096",879496567
Миньоны,09.07.2015,2015,"1,09096",865162165
Форсаж 7,09.04.2015,2015,"1,09096",857010108
Ледниковый период 3: Эра динозавров,02.07.2009,2009,"1,80897",512489696
Мадагаскар 2,30.10.2008,2008,"2,018811",441748552
Мстители: Эра Альтрона,23.04.2015,2015,"1,09096",815859036
Хоббит: Битва пяти воинств,11.12.2014,2014,"1,202238",738000000
Трансформеры: Эпоха истребления,26.06.2014,2014,"1,202238",720070275
2012,12.11.2009,2009,"1,80897",469051164
Пираты Карибского моря: На краю Света,24.05.2007,2007,"2,339802",359385168
Самый лучший фильм,24.01.2008,2008,"2,018811",403869260
Форсаж 8,14.04.2017,2017,1,802717903
Отряд самоубийц,05.08.2016,2016,"1,04",762383939
Ледниковый период 4: Континентальный дрейф,12.07.2012,2012,"1,434751",552082461
Пятьдесят оттенков серого,12.02.2015,2015,"1,09096",705218892
Люди в черном 3,24.05.2012,2012,"1,434751",533050190
Сумерки. Сага. Рассвет: Часть 1,17.11.2011,2011,"1,539488",487346571
Форсаж 6,23.05.2013,2013,"1,328473",554991659
Мадагаскар 3,07.06.2012,2012,"1,434751",510811783
Трансформеры 3: Тёмная сторона Луны,30.06.2011,2011,"1,539488",474461785
Шрэк Третий,17.05.2007,2007,"2,339802",312062621
Стражи Галактики. Часть 2,05.05.2017,2017,1,730072103
Ной,27.03.2014,2014,"1,202238",605963218
Кот в сапогах,03.11.2011,2011,"1,539488",471864152
Вий 3D,30.01.2014,2014,"1,202238",602724009
Хоббит: Пустошь Смауга,19.12.2013,2013,"1,328473",538944384
Варкрафт,27.05.2016,2016,"1,04",683427143
Джон Картер,08.03.2012,2012,"1,434751",492330618
Сталинград,10.10.2013,2013,"1,328473",524266979
Фантастические твари и где они обитают,18.11.2016,2016,"1,04",664045054
Алиса в Стране чудес,04.03.2010,2010,"1,673423",407135124
Хоббит: Нежданное путешествие,20.12.2012,2012,"1,434751",474253961
Терминатор: Генезис,02.07.2015,2015,"1,09096",619814298
Трансформеры: Месть падших,25.06.2009,2009,"1,80897",370064484
Гарри Поттер и Дары Смерти: Часть II,14.07.2011,2011,"1,539488",433029507
Тайная жизнь домашних животных,19.08.2016,2016,"1,04",635047894
Гарри Поттер и Дары Смерти: Часть I,18.11.2010,2010,"1,673423",394220799
Движение вверх,05.01.2018,2018,1,654619988
Кунг-фу Панда 2,26.05.2011,2011,"1,539488",425031269
Босс-молокосос,24.03.2017,2017,1,654195980
Первый мститель: Противостояние,06.05.2016,2016,"1,04",621271538
Кредо убийцы,06.01.2017,2017,1,633169638
Мстители,03.05.2012,2012,"1,434751",441158273
Наша Russia: Яйца судьбы,21.01.2010,2010,"1,673423",375389731
Мумия: Гробница Императора Драконов,31.07.2008,2008,"2,018811",310591444
Оз: Великий и Ужасный,07.03.2013,2013,"1,328473",450634671
