"marshrut_";"marshrut_po_oblasti_";"_poezda";"rasstoyanie_vsego_po_marshrutu_";"vremya_otpravleniya_po_subektu_";"vremya_pribytiya_po_subektu_";"dni_sledovaniya";"period_sledovaniya";"sostavnost"
"Серпухов -Тула 1";"Приокская-Тула";"6951";"95";"5:53";"7:33";"365";"ежедневно";"6"
"Москва Кал -Тула 1";"Приокская-Тула";"6953";"197";"6:51";"10:19";"365";"ежедневно ";"10"
"Москва Кал. -Тула 1";"Приокская-Тула";"6959";"197";"10:15";"13:49";"365";"ежедневно";"10"
"Москва Курс. -Тула 1";"Приокская-Тула";"6961";"194";"14:15";"17:43";"118";"по выходным и праздничным дням ";"10"
"Серпухов -Тула 1";"Приокская-Тула";"6957";"95";"10:55";"12:39";"247";"по рабочим ";"6"
"Москва Кал. -Тула 1";"Приокская-Тула";"6963";"197";"14:58";"18:52";"365";"ежедневно ";"10"
"Серпухов -Тула 1";"Приокская-Тула";"6967";"95";"20:47";"22:32";"365";"ежедневно ";"6"
"Москва Кал. -Тула 1";"Приокская-Тула";"6969";"197";"20:15";"23:54";"365";"ежедневно ";"10"
"Тула 1 -Серпухов";"Тула -Приокская";"6952";"95";"3:45";"5:29";"365";"ежедневно ";"6"
"Тула 1 -Москва Кал.";"Тула -Приокская";"6954";"197";"5:54";"9:50";"365";"ежедневно ";"10"
"Тула 1 -Москва Курс.";"Тула -Приокская";"6958";"194";"10:28";"13:55";"118";"по выходным и праздничным дням ";"10"
"Тула 1 -Серпухов ";"Тула -Приокская";"6956";"95";"8:00";"9:44";"247";"по рабочим ";"6"
"Тула 1 -Москва Кал.";"Тула -Приокская";"6962";"197";"12:50";"16:35";"365";"ежедневно ";"10"
"Тула 1 -Москва Кал.";"Тула -Приокская";"6964";"197";"14:15";"17:44";"365";"ежедневно ";"10"
"Тула 1 -Серпухов ";"Тула -Приокская";"6966";"95";"18:15";"20:00";"365";"ежедневно ";"6"
"Тула 1 -Москва Кал.";"Тула -Приокская";"6970";"197";"19:57";"23:37";"365";"ежедневно ";"10"
"Калуга 1 - Алексин";"пл. 217 км - Алексин";"6778";"70";"22:14";"0:05";"365";"ежедневно ";"3"
"Алексин - Калуга 1";"Алексин - пл. 217 км";"6771";"70";"5:25";"7:13";"365";"ежедневно ";"3"
"Тула 1-Скуратово";"Тула -Скуратово";"6515";"90";"8:55";"10:31";"365";"ежедневно ";"4"
"Тула 1-Скуратово";"Тула -Скуратово";"6523";"90";"20:40";"22:16";"365";"ежедневно ";"4"
"Тула -Орел ";"Тула -о.п. 317";"6325";"189";"14:40";"18:07";"365";"ежедневно ";"4"
"Скуратово - Тула 1";"Скуратово - Тула 1";"6520";"90";"17:35";"19:14";"365";"ежедневно ";"4"
"Скуратово - Тула";"Скуратово - Тула";"6514";"90";"5:05";"6:44";"365";"ежедневно ";"4"
"Орел -Тула 1";"о.п. 317 -Тула ";"6322";"189";"8:25";"11:59";"365";"ежедневно ";"4"
"Орел - Скуратово";"о.п.317 км-Скуратово";"6326";"99";"17:45";"19:40";"365";"ежедневно ";"4"
"Скуратово - Орел";"Скуратово-о.п.317 км";"6321";"99";"5:20";"7:14";"365";"ежедневно ";"4"
"Ожерелье - Узловая 1 ";"о.п. 137 км -Узловая 1";"6731";"119";"9:05";"12:03";"365";"ежедневно ";"2"
"Ожерелье - Новомосковская 1";"о.п. 137 км - Новомосковская 1";"6739";"101";"20:54";"23:21";"365";"ежедневно ";"2"
"Ожерелье - Урванка";"о.п. 137 км - Урванка";"6735/6736";"127";"18:03";"21:07";"365";"ежедневно";"2"
"Урванка - Ожерелье";"Урванка - о.п. 137 км";"6721/6722";"127";"4:16";"7:20";"365";"ежедневно ";"2"
"Узловая 1 - Ожерелье";"Узловая 1 - о.п. 137 км";"6728";"107";"17:22";"19:53";"365";"ежедневно ";"2"
"Узловая 1 - Ожерелье";"Узловая 1 - о.п. 137 км";"6726";"107";"14:42";"17:09";"365";"ежедневно ";"2"
"Узловая 1-Ефремов ";"Узловая 1-Ефремов ";"6421";"117";"8:35";"11:09";"365";"ежедневно ";"2"
"Узловая 1-Ефремов ";"Узловая 1-Ефремов ";"6425";"117";"20:42";"23:15";"365";"ежедневно ";"2"
"Урванка - Ефремов";"Урванка - Ефремов";"6424/6423";"145";"13:00";"16:28";"365";"ежедневно ";"2"
"Ефремов -Узловая 1";"Ефремов -Узловая 1";"6432";"117";"4:32";"7:05";"365";"ежедневно ";"2"
"Ефремов -Узловая 1";"Ефремов -Узловая 1";"6436";"117";"16:55";"19:28";"365";"ежедневно ";"2"
"Ефремов - Узловая 1";"Ефремов - Узловая 1";"6434";"117";"11:33";"14:05";"365";"ежедневно ";"2"
"Урванка -Тула 1";"Урванка -Тула 1";"6031/6032";"77";"5:22";"7:18";"200";"ежедневно с 01.01.2019-18.04.2019 и с 01.10.2019-31.12.2019";"2"
"Урванка -Тула 1";"Урванка -Тула 1";"6031/6032";"77";"5:22";"7:18";"165";"ежедневно с 19.04.2019 - 30.09.2019";"3"
"Урванка -Тула 1";"Урванка -Тула 1";"6035/6036";"77";"17:25";"19:30";"200";"ежедневно с 01.01.2019-18.04.2019 и с 01.10.2019-31.12.2019";"2"
